site,threshold,source,metric,pct_type,value
01011000,5,mod,rho_obs,fixed,0.2793838262967992
01011000,5,mod,rho_obs,variable,0.8709150354184996
01011000,5,mod,nse,fixed,-21.93363931173016
01011000,5,mod,nse,variable,-0.435364107808849
01011000,5,mod,bias,fixed,-5.525782308663652
01011000,5,mod,bias,variable,-3.4357082899988214
01011000,5,mod,pct_bias,fixed,-74.03872989946983
01011000,5,mod,pct_bias,variable,-25.406558257620382
01011000,5,mod,sd_ratio,fixed,0.7143243760890444
01011000,5,mod,sd_ratio,variable,0.8903812220529358
01011000,10,mod,rho_obs,fixed,0.2701003884142399
01011000,10,mod,rho_obs,variable,0.8521491858895809
01011000,10,mod,nse,fixed,-9.86401782630395
01011000,10,mod,nse,variable,-0.0065857442012
01011000,10,mod,bias,fixed,-5.783763340265631
01011000,10,mod,bias,variable,-3.436237698385306
01011000,10,mod,pct_bias,fixed,-64.86495441038952
01011000,10,mod,pct_bias,variable,-21.119544109639467
01011000,10,mod,sd_ratio,fixed,0.8192897878484185
01011000,10,mod,sd_ratio,variable,0.8967846860658999
01011000,20,mod,rho_obs,fixed,0.3380770715844229
01011000,20,mod,rho_obs,variable,0.8486939021884267
01011000,20,mod,nse,fixed,-5.528722489757283
01011000,20,mod,nse,variable,0.3449181766534928
01011000,20,mod,bias,fixed,-5.9217719349072775
01011000,20,mod,bias,variable,-3.3251179900607575
01011000,20,mod,pct_bias,fixed,-52.88478970072059
01011000,20,mod,pct_bias,variable,-16.850107352788555
01011000,20,mod,sd_ratio,fixed,0.9185636297870128
01011000,20,mod,sd_ratio,variable,0.9729586050099256
01011000,30,mod,rho_obs,fixed,0.4390757318531111
01011000,30,mod,rho_obs,variable,0.84660767262796
01011000,30,mod,nse,fixed,-3.707430651769581
01011000,30,mod,nse,variable,0.5293171976440405
01011000,30,mod,bias,fixed,-6.023952668691234
01011000,30,mod,bias,variable,-3.463922738879347
01011000,30,mod,pct_bias,fixed,-45.38740384721997
01011000,30,mod,pct_bias,variable,-15.170481845009512
01011000,30,mod,sd_ratio,fixed,0.935880650025496
01011000,30,mod,sd_ratio,variable,0.9748691918310188
01013500,5,mod,rho_obs,fixed,0.0535409692809337
01013500,5,mod,rho_obs,variable,0.8491961102738499
01013500,5,mod,nse,fixed,-10.191513018336105
01013500,5,mod,nse,variable,-0.838452549497928
01013500,5,mod,bias,fixed,-2.4350095824149114
01013500,5,mod,bias,variable,-0.7012908724832911
01013500,5,mod,pct_bias,fixed,-49.131753421879424
01013500,5,mod,pct_bias,variable,-5.510477634609822
01013500,5,mod,sd_ratio,fixed,0.5228956858186027
01013500,5,mod,sd_ratio,variable,0.8801719867667275
01013500,10,mod,rho_obs,fixed,0.0691080758593967
01013500,10,mod,rho_obs,variable,0.8253097061739765
01013500,10,mod,nse,fixed,-7.918187974838444
01013500,10,mod,nse,variable,-0.1004808291194323
01013500,10,mod,bias,fixed,-2.7479913149631083
01013500,10,mod,bias,variable,-0.7927879949147023
01013500,10,mod,pct_bias,fixed,-43.10509742458751
01013500,10,mod,pct_bias,variable,-5.142906137847323
01013500,10,mod,sd_ratio,fixed,0.7104265962566207
01013500,10,mod,sd_ratio,variable,0.937396026736674
01013500,20,mod,rho_obs,fixed,0.2398275577608835
01013500,20,mod,rho_obs,variable,0.8342377801678915
01013500,20,mod,nse,fixed,-6.613205851037869
01013500,20,mod,nse,variable,0.399548864002947
01013500,20,mod,bias,fixed,-2.7858834291601315
01013500,20,mod,bias,variable,-1.0814140341031653
01013500,20,mod,pct_bias,fixed,-33.20384203679313
01013500,20,mod,pct_bias,variable,-5.951219209733595
01013500,20,mod,sd_ratio,fixed,0.9378926083802692
01013500,20,mod,sd_ratio,variable,0.880204978060933
01013500,30,mod,rho_obs,fixed,0.3682016915477225
01013500,30,mod,rho_obs,variable,0.8326233063399201
01013500,30,mod,nse,fixed,-6.230655807369539
01013500,30,mod,nse,variable,0.4881613054063589
01013500,30,mod,bias,fixed,-2.5820528907362217
01013500,30,mod,bias,variable,-1.0583190432533378
01013500,30,mod,pct_bias,fixed,-25.415190705630643
01013500,30,mod,pct_bias,variable,-5.189438181201013
01013500,30,mod,sd_ratio,fixed,1.0505950329710336
01013500,30,mod,sd_ratio,variable,0.8687100520875767
01015800,5,mod,rho_obs,fixed,0.0168014631407394
01015800,5,mod,rho_obs,variable,0.7751471796341242
01015800,5,mod,nse,fixed,-17.732222969318133
01015800,5,mod,nse,variable,-0.7337562840900875
01015800,5,mod,bias,fixed,-2.3998957822366265
01015800,5,mod,bias,variable,-3.0890295433582384
01015800,5,mod,pct_bias,fixed,-72.99015690335594
01015800,5,mod,pct_bias,variable,-36.26656662837956
01015800,5,mod,sd_ratio,fixed,0.4894639763237917
01015800,5,mod,sd_ratio,variable,0.9061375703233177
01015800,10,mod,rho_obs,fixed,0.1617548790971523
01015800,10,mod,rho_obs,variable,0.8090233243953375
01015800,10,mod,nse,fixed,-10.084987177627616
01015800,10,mod,nse,variable,0.2124716717890327
01015800,10,mod,bias,fixed,-2.9471698579615735
01015800,10,mod,bias,variable,-2.459127703653362
01015800,10,mod,pct_bias,fixed,-67.73431360284214
01015800,10,mod,pct_bias,variable,-23.68437207613266
01015800,10,mod,sd_ratio,fixed,0.4863905337609691
01015800,10,mod,sd_ratio,variable,1.127170073929652
01015800,20,mod,rho_obs,fixed,0.2729679956849917
01015800,20,mod,rho_obs,variable,0.7986157027866152
01015800,20,mod,nse,fixed,-7.844273106686755
01015800,20,mod,nse,variable,0.4535137397866213
01015800,20,mod,bias,fixed,-3.577781108475575
01015800,20,mod,bias,variable,-2.4172334941218363
01015800,20,mod,pct_bias,fixed,-59.088913203947314
01015800,20,mod,pct_bias,variable,-18.513908934502197
01015800,20,mod,sd_ratio,fixed,0.6221342334680934
01015800,20,mod,sd_ratio,variable,1.1089923714683458
01015800,30,mod,rho_obs,fixed,0.3092278769945339
01015800,30,mod,rho_obs,variable,0.789739817359456
01015800,30,mod,nse,fixed,-5.438690326234574
01015800,30,mod,nse,variable,0.5444562147512099
01015800,30,mod,bias,fixed,-3.815568866970361
01015800,30,mod,bias,variable,-2.1893589688049957
01015800,30,mod,pct_bias,fixed,-49.94619699653888
01015800,30,mod,pct_bias,variable,-14.233544931266378
01015800,30,mod,sd_ratio,fixed,0.7954357215151873
01015800,30,mod,sd_ratio,variable,1.0633525726035538
